jersey_number | player_name | position
31 | Attila Adorjan | goalie
35 | Adam Bartis | goalie
32 | Calin Mardale | goalie
33 | Patrik Polc | goalie
30 | Zoltán Töke | goalie
12 | Huba Bors | defender
17 | Pavlo Borysenko | defender
6 | Csaba Csiszér | defender
22 | Pavlo Demchenko | defender
92 | Tamás Farkas | defender
18 | Tamas Gajdo | defender
95 | Hugo Gecse | defender
70 | Andrei Grigorescu | defender
10 | Timothy Payne | defender
58 | Sébastien Piché | defender
32 | Evan Wardley | defender
20 | Dorian Baditoiu | forward
13 | Tudor Capolna | forward
20 | Andrei Dan Filip | forward
19 | Matei Gabrian | forward
98 | Balázs Gajdó | forward
93 | Roberto Gliga | forward
21 | Daniel Koger | forward
8 | Elod Kovacs | forward
16 | David Levin | forward
28 | Michael Levin | forward
27 | Zsombor Molnár | forward
81 | Tamas Reszegh | forward
36 | Szilard Rokaly | forward
72 | Richárd Rokaly-Boldizsár | forward
24 | Dmytro Rudyka | forward
50 | Jared VanWormer | forward
77 | Andrei Vasile | forward
11 | Rares Vasile | forward
15 | Jeremy Welsh | forward
73 | Albert Zagidullin | forward
26 | Andrei Zamfir | forward
