jersey_number | player_name | position
 | David Csibi | goalie
 | Martin Hajdu | goalie
 | Levente Hegedüs | goalie
 | Mate Sági | goalie
 | Abel Angyalati | goalie
 | Botond Bajko | defender
 | Márton Deak | defender
 | Zsombor Dóczi | defender
 | István Erdöhelyi | defender
 | Adam Falus | defender
 | Donát Horváth | defender
 | Bertalan Joo | defender
 | Zsombor Ladnyik | defender
 | Dominik Nagy | goalie
 | Zoltán Salamon | defender
 | Matvei Shivrin | defender
 | Péter Szabó | defender
 | Márton Alapi | forward
 | Csongor Ambrus | goalie
 | Aaron Aragon | goalie
 | Vladislav Atlas | defender
 | Barnabás Balasits | forward
 | Mikhail Buchkin | forward
 | Csanád Erdosi | defender
 | László Farkas | forward
 | Martin Hiezl | forward
 | Mátyás Keceli-Mészáros | goalie
 | Bálint Magosi | goalie
 | Marcell Mayer | defender
 | Máté Mester | defender
 | Akos Mihaly | forward
 | Kristof Nádor | defender
 | Zalán Németh | forward
 | Zsombor Pallos | forward
 | Adrián Papp | goalie
 | Péter Simon | defender
 | Istvan Süveg | goalie
 | William Zapernick | defender
