jersey_number | player_name | position
34 | Nandor Biro | goalie
29 | Mihaly Islik | goalie
77 | Mate Sebok | goalie
7 | Csongor Baraboi | goalie
65 | Akos Fulop | defender
4 | Sandor Istvan | defender
23 | Davis Kinne | defender
43 | Zalan Malnai | defender
20 | Robert Szekeres | defender
22 | Krisztian Vancsa | defender
78 | Tamas Agoston | goalie
25 | Levente Banceanu | forward
97 | Tamas Bogacs | goalie
18 | Mate Both | forward
45 | Ervin Eross | forward
10 | Alpar Farkas | forward
91 | Szymon Fus | forward
26 | Gergo Gidro | goalie
5 | Bela Incze | forward
17 | David Janos | defender
27 | Noah Julin | forward
79 | Gergo Kozma | goalie
88 | Kende Laszlo | defender
48 | Tamas Marton | defender
24 | Adam-Florian Mic | defender
61 | Andor Peter | defender
32 | Csongor Vaslaban | goalie
