jersey_number | player_name | position
phkLn0sIOugpZnuNjLRc
31 | Marton Buda | goalie
70 | Nikita Melnichuk | goalie
22 | Otto Onodi | goalie
29 | Adrian Petra | goalie
44 | Aapo Ahola | defender
16 | Andras Boda | defender
23 | Peter Both | defender
88 | Robert Ferencz Csibi | defender
26 | Elod Kovacs | defender
76 | Csongor Kristo | defender
93 | Tamás Láday | defender
46 | Conor MacEachern | defender
19 | Tamas Onodi | defender
55 | Alpar Sallo | defender
90 | Robert Szekeres | defender
72 | Patrick Antal | forward
20 | Tihamer Becze | forward
20 | László Becze Mathe | forward
61 | Gergö Biro | forward
48 | Zdenek Dolezal | forward
10 | Csanád Fodor | forward
42 | Frank Gymer | forward
15 | Tamas Kedves | forward
11 | Ondřej Machala | forward
97 | Botond Marton | forward
7 | Akos Nyisztor | forward
66 | Balazs Peter | forward
88 | Reid Petryk | forward
3 | Aron Reisz | forward
96 | Norbert Rokaly | forward
9 | Arnold Silló | forward
42 | Zsolt Tamas | forward
